subpopulation,value_population,treatment,value,outcome,ate,ate_p,css,size,size_protected,size_treated,support,ni_score1,ni_score2,ni_score3
Age,85-94,Educational attainment,Professional Degree,Total person's income,63743.09965851905,19361.741067773808,44381.35859074524,5396,2492,260,0.0028614639920074,0.9999999997694792,0.9999983494592184,0.9881820516801886
Age,65-74,Educational attainment,Professional Degree,Total person's income,84817.91081140644,49584.72530387024,35233.185507536204,179184,85022,7107,0.0950201193372603,0.9999999776534246,0.9999743240461588,0.9704986292541136
Age,75-84,Educational attainment,Professional Degree,Total person's income,81845.65641407498,47638.09809136759,34207.558322707395,36114,15721,1705,0.0191510212393172,0.9999999626815936,0.9999650735975232,0.9673122808332958
Age,55-64,Educational attainment,Professional Degree,Total person's income,104471.15140555568,71099.31751978383,33371.83388577186,370759,183883,9430,0.1966111060438616,0.9999999433241104,0.9999551214302572,0.96446308944042
Age,45-54,Educational attainment,Professional Degree,Total person's income,107986.45987848323,79937.18323596282,28049.276642520417,355940,174649,9192,0.1887526859368272,0.9999991887084244,0.9997784324375756,0.9394888518665668
Citizenship status,"Born in Puerto Rico, Guam, the U.S. Virgin Islands, or the Northern Marianas",Educational attainment,Professional Degree,Total person's income,84197.84042543385,50307.80271413839,33890.03771129547,9372,4603,177,0.0049699111440128,0.9999999562607014,0.9999615830317088,0.9662577248103008
Age,85-94,Marital status,Married,Total person's income,15940.48750648083,-6696.137216117928,22636.62472259876,5396,2492,2279,0.0028614639920074,0.9999878515912192,0.998876141490632,0.896030996991374
Age,85-94,Educational attainment,No Degree,Total person's income,-42550.49580200257,-20925.419638721636,21625.07616328094,5396,2492,3466,0.0028614639920074,0.9999798546704718,0.998477684653746,0.8849637078311481
Marital status,Separated,Educational attainment,Professional Degree,Total person's income,86528.03271645433,60015.69639766335,26512.336318790974,32387,18728,429,0.0171746171810867,0.999998250478366,0.9996486405890735,0.9294358907902088
Citizenship status,Born abroad of American parent(s),Educational attainment,Professional Degree,Total person's income,92031.43177954832,72753.86824868375,19277.56353086457,19535,9479,527,0.0103592844855198,0.9999348476227008,0.9969213652992754,0.8545257746009679
